Chromosome_MM1S_Pol2_DMSO	TSSR_Start_MM1S_Pol2_DMSO	TSSR_End_MM1S_Pol2_DMSO	GeneBody_Start_MM1S_Pol2_DMSO	GeneBody_End_MM1S_Pol2_DMSO	Strand_MM1S_Pol2_DMSO	Symbol_MM1S_Pol2_DMSO	IsOverlapped_MM1S_Pol2_DMSO	Traveling_Ratio_MM1S_Pol2_DMSO	reads.Promoter_MM1S_Pol2_DMSO	reads.TSSR_MM1S_Pol2_DMSO	reads.GeneBody_MM1S_Pol2_DMSO	reads.TESR_MM1S_Pol2_DMSO	iRatio_MM1S_Pol2_DMSO	Traveling_Ratio_MM1S_Pol2_JQKD82	reads.Promoter_MM1S_Pol2_JQKD82	reads.TSSR_MM1S_Pol2_JQKD82	reads.GeneBody_MM1S_Pol2_JQKD82	reads.TESR_MM1S_Pol2_JQKD82	iRatio_MM1S_Pol2_JQKD82
chr1	752720	753050	753050	755214	+	FAM87B	N	4.36052366565962	5	4	6	38	0.514285714285714	4.08799093655589	4	5	8	53	0.357142857142857
chr1	762602	762932	761585	762602	-	LINC00115	N	8.20140986908359	5	8	3	16	0.285714285714286	17.4279959718026	4	17	3	24	0.119047619047619
chr1	762940	763270	763270	794826	+	LINC01128	N	6.11143388333721	8	5	78	5	0.642857142857143	3.66686033000232	17	3	78	7	1.92857142857143
chr1	811882	812212	803450	811882	-	FAM41C	N	2.42641346568839	1	2	21	11	0.285714285714286	0	2	0	14	16	1.28571428571429
chr1	854772	855102	852197	854772	-	LOC100130417	N	0	2	0	13	17	1.28571428571429	1.29707955689829	8	2	12	20	1.28571428571429
chr1	861090	861420	861420	879961	+	SAMD11	Y	1.03737272015218	0	2	108	49	0.142857142857143	0.674917191424308	4	2	166	84	0.714285714285714
chr1	894379	894709	879582	894379	-	NOC2L	Y	4.55348550967886	10	22	216	56	0.204968944099379	5.8604614322731	11	35	267	90	0.142857142857143
chr1	895936	896266	896266	901099	+	KLHL17	N	3.31914309255699	3	5	22	43	0.285714285714286	9.93087613293051	5	17	25	70	0.142857142857143
chr1	901846	902176	902176	910484	+	PLEKHN1	N	3.82922832710328	5	9	59	6	0.257142857142857	6.18971154244092	20	18	73	20	0.473684210526316
chr1	917197	917527	910578	917197	-	PERM1	N	5	4	4	16	23	0.428571428571429	1.17647058823529	4	2	34	22	0.714285714285714
chr1	935252	935582	934341	935252	-	HES4	N	1.37764350453172	1	1	2	11	0.428571428571429	0.787224859732413	0	2	7	13	0.142857142857143
chr1	948816	949146	949146	949919	+	ISG15	N	7.40483383685801	28	38	12	20	0.318681318681319	5.14441087613293	42	44	20	15	0.40952380952381
chr1	955472	955802	955802	991499	+	AGRN	N	5.34788145114978	29	6	121	14	1.83673469387755	8.38825109097012	35	14	180	24	1.02857142857143
chr1	1009387	1009717	1007125	1009387	-	RNF223	N	1.46504100129478	4	3	14	27	0.535714285714286	2.93008200258956	4	3	7	45	0.535714285714286
chr1	1051436	1051766	1017197	1051436	-	C1orf159	N	3.02974377125232	7	7	239	12	0.428571428571429	5.23258137703222	4	13	257	20	0.153061224489796
chr1	1072366	1072696	1072696	1079434	+	LINC01342	N	6.07746764666096	24	20	67	74	0.510204081632653	8.01385228514495	16	37	94	92	0.191729323308271
chr1	1109255	1109585	1109585	1133313	+	TTLL10	N	1.95514968415271	8	3	110	12	0.964285714285714	1.8225971631932	9	3	118	12	1.07142857142857
chr1	1141789	1142119	1138887	1141789	-	TNFRSF18	N	1.59461686349904	5	2	11	8	0.857142857142857	4.38519637462236	4	5	10	10	0.357142857142857
chr1	1149248	1149578	1146705	1149248	-	TNFRSF4	N	5.1238670694864	5	4	6	12	0.514285714285714	3.202416918429	5	5	12	16	0.428571428571429
chr1	1167147	1167477	1152287	1167147	-	SDF4	N	9.36360405189266	55	39	187	39	0.6	6.54373325831427	42	36	247	43	0.498069498069498
chr1	1167598	1167928	1167928	1170420	+	B3GALT6	N	8.78700906344411	60	35	30	12	0.726190476190476	6.49286383998333	69	25	29	34	1.15384615384615
chr1	1181802	1182132	1177825	1181802	-	FAM132A	N	3.20483383685801	4	4	15	14	0.428571428571429	0.600906344410876	8	1	20	27	1.92857142857143
chr1	1208934	1209264	1189291	1208934	-	UBE2J2	N	7.91299093655589	23	42	315	54	0.239202657807309	8.63235374897006	47	64	440	54	0.316483516483516
chr1	1215785	1216115	1216115	1227409	+	SCNN1D	N	1.7499419009993	0	2	39	29	0.142857142857143	0.832289440719181	5	1	41	34	1.28571428571429
chr1	1242969	1243299	1227763	1242969	-	ACAP3	Y	7.11016400517911	77	13	84	16	2.38775510204082	5.40501155144837	89	12	102	15	2.96703296703297
chr1	1243963	1244293	1244293	1247057	+	PUSL1	Y	2.84373593880568	66	32	94	139	0.87012987012987	2.11549024993134	79	39	154	178	0.857142857142857
chr1	1259767	1260097	1246964	1259767	-	CPSF3L	Y	6.42765217550041	50	55	331	186	0.39030612244898	5.6016046753504	80	53	366	263	0.642857142857143
chr1	1260112	1260442	1260442	1264276	+	CPTP	N	6.43672373279624	64	35	63	33	0.773809523809524	7.06752265861027	59	61	100	97	0.414746543778802
chr1	1266695	1267025	1267025	1270700	+	TAS1R3	Y	1.48076535750252	10	4	30	22	0.942857142857143	1.75353792335824	22	12	76	38	0.758241758241758
chr1	1284192	1284522	1270657	1284192	-	DVL1	Y	4.92245720040282	46	13	108	33	1.43877551020408	3.58197896222462	62	12	137	83	2.07692307692308
chr1	1298621	1298951	1288068	1298621	-	MXRA8	N	2.27751402675874	2	4	56	71	0.257142857142857	0	4	0	93	89	2.14285714285714
chr1	1310518	1310848	1309109	1310518	-	AURKAIP1	N	3.62873447465592	87	46	54	63	0.802431610942249	3.2767836393214	91	70	91	92	0.55533199195171
chr1	1334418	1334748	1321090	1334418	-	CCNL2	N	9.33771180874819	94	64	276	24	0.626373626373626	10.6343878983873	111	75	284	33	0.631578947368421
chr1	1334879	1335209	1335209	1337426	+	LOC148413	Y	2.07511938407563	96	48	155	119	0.848396501457726	2.59754234699073	108	69	178	159	0.66734693877551
chr1	1342393	1342723	1337275	1342393	-	MRPL20	Y	6.86379374724193	101	79	178	305	0.546428571428571	6.78791814192561	142	97	221	350	0.625364431486881
chr1	1356524	1356854	1353799	1356524	-	ANKRD65	N	0.748695413347981	6	1	11	18	1.5	0.457536085934877	1	1	18	25	0.428571428571429
chr1	1361477	1361807	1361807	1363167	+	TMEM88B	N	0	2	0	3	24	1.28571428571429	0	1	0	2	16	0.857142857142857
chr1	1369653	1369983	1365536	1369653	-	LOC102724312	N	1.77729823047044	5	3	21	21	0.642857142857143	0	2	0	13	10	1.28571428571429
chr1	1370872	1371202	1371202	1378262	+	VWA1	N	0.761868795856711	1	1	28	9	0.428571428571429	1.25484272258752	4	2	34	10	0.714285714285714
chr1	1385038	1385368	1385368	1405538	+	ATAD3C	N	1.47434460578891	5	3	124	181	0.642857142857143	0.373862435823773	5	1	163	207	1.28571428571429
chr1	1407104	1407434	1407434	1431584	+	ATAD3B	N	2.95160785694033	71	25	618	47	1.18681318681319	6.05627933080974	67	42	506	40	0.677740863787376
chr1	1447492	1447822	1447822	1470067	+	ATAD3A	N	7.90687755464724	182	28	238	89	2.70443349753695	8.08990712767148	242	26	216	85	3.85714285714286
chr1	1475440	1475770	1470157	1475440	-	TMEM240	N	0.658298813342885	15	4	97	50	1.37142857142857	0.358735870192471	16	2	89	50	2.42857142857143
chr1	1509962	1510292	1477052	1509962	-	SSU72	N	12.6613711712323	163	102	801	57	0.682385575589459	15.4370212514496	172	127	818	47	0.579241071428571
chr1	1535176	1535506	1533387	1535176	-	FNDC10	N	0	2	0	8	5	1.28571428571429	1.08157099697885	0	1	5	11	0.214285714285714
chr1	1550764	1551094	1551094	1565990	+	MIB2	N	13.8832198269241	52	91	295	64	0.246894409937888	12.4616272719102	67	121	437	82	0.238875878220141
chr1	1567529	1567859	1567859	1570030	+	MMP23B	Y	0	6	0	0	8	3	0	8	1	0	6	1.92857142857143
chr1	1568128	1568458	1568458	1570027	+	MMP23A	Y	0	1	0	0	8	0.857142857142857	0	2	0	0	6	1.28571428571429
chr1	1655559	1655889	1570602	1655559	-	CDK11B	Y	17.2759121543109	25	42	624	9	0.259136212624585	22.4493319123074	45	60	686	14	0.323185011709602
chr1	1623943	1624273	1592938	1623943	-	SLC35E2B	Y	0	6	0	273	63	3	0.300236269269502	3	1	312	90	0.857142857142857
chr1	1655704	1656034	1633822	1655704	-	CDK11A	Y	27.0034041104634	0	58	142	0	0.00726392251815981	34.2652531132562	5	85	164	0	0.0299003322259136
chr1	1677138	1677468	1656276	1677138	-	SLC35E2	N	0.778150759016821	9	1	81	74	2.14285714285714	0.70820462337486	6	1	89	106	1.5
chr1	1711208	1711538	1682670	1711208	-	NADK	N	3.62568440622821	78	41	975	3	0.806122448979592	4.00250106645941	92	48	1034	6	0.813411078717201
chr1	1822256	1822586	1716723	1822256	-	GNB1	N	10.1480677240685	69	55	1728	84	0.535714285714286	15.3677168752697	69	83	1722	115	0.357142857142857
chr1	1846235	1846565	1846565	1848733	+	CALML6	N	0.655287009063444	7	2	20	156	1.14285714285714	1.24816573154942	5	4	21	148	0.514285714285714
chr1	1850440	1850770	1849028	1850440	-	TMEM52	N	5.54205756082048	34	74	57	36	0.2	9.28481873111783	30	87	40	34	0.150974025974026
chr1	1934976	1935306	1853389	1934976	-	CFAP74	N	0.933672068113156	5	1	264	142	1.28571428571429	0	3	0	266	143	1.71428571428571
chr1	1950737	1951067	1951067	1962192	+	GABRD	N	0	2	0	33	10	1.28571428571429	0	1	0	22	12	0.857142857142857
chr1	1981209	1981539	1980639	1981209	-	LOC105378591	N	1.72507552870091	0	2	2	13	0.142857142857143	0.575025176233635	3	1	3	15	0.857142857142857
chr1	1981878	1982208	1982208	2116834	+	PRKCZ	Y	0	3	0	439	11	1.71428571428571	1.00426690537466	4	1	405	19	1.07142857142857
chr1	2143859	2144189	2115898	2143859	-	FAAP20	Y	0	0	0	152	14	0.428571428571429	1.24843361659697	6	3	203	8	0.75
chr1	2160103	2160433	2160433	2241652	+	SKI	N	2.3852018809675	29	8	823	18	1.42857142857143	2.63280733373961	25	10	932	29	1.01298701298701
chr1	2322890	2323220	2252691	2322890	-	MORN1	Y	15.5528700906344	76	22	300	11	1.43478260869565	26.0701990344371	99	37	301	9	1.12781954887218
chr1	2283800	2284130	2281852	2283800	-	LOC100129534	Y	2.35528700906344	2	2	5	10	0.428571428571429	0.736027190332326	5	1	8	14	1.28571428571429
chr1	2323183	2323513	2323513	2336885	+	RER1	Y	9.15509056002857	30	46	203	56	0.282674772036474	12.4091281829953	46	86	280	88	0.231527093596059
chr1	2343710	2344040	2336240	2343710	-	PEX10	Y	6.70076472809668	108	38	128	52	1.1978021978022	6.01893252769386	120	44	165	89	1.15238095238095
chr1	2398867	2399197	2399197	2436969	+	PLCH2	N	1.81139404402244	1	2	126	79	0.285714285714286	0	1	0	125	97	0.857142857142857
chr1	2457767	2458097	2439969	2457767	-	PANK4	N	9.92129407698911	19	50	271	65	0.168067226890756	8.07408617076291	15	50	333	93	0.134453781512605
chr1	2461384	2461714	2460183	2461384	-	HES5	N	0.90785498489426	1	1	4	104	0.428571428571429	1.21047331319235	6	3	9	104	0.75
chr1	2488150	2488480	2481358	2488150	-	LOC115110	Y	7.87738411303366	22	38	99	230	0.252747252747253	6.57366408610272	15	41	128	410	0.163265306122449
chr1	2487773	2488103	2488103	2497061	+	TNFRSF14	Y	9.02215508559919	41	41	123	15	0.428571428571429	8.55549189151648	55	55	174	29	0.428571428571429
chr1	2497943	2498273	2498273	2515973	+	LOC100996583	N	2.11094768643664	7	3	76	160	0.857142857142857	4.62149863861848	16	7	81	216	0.910714285714286
chr1	2517868	2518198	2518198	2522908	+	FAM213B	Y	7.4009667673716	100	13	25	6	3.09183673469388	10.9116817724068	151	23	30	18	2.71428571428571
chr1	2564181	2564511	2522080	2564181	-	MMEL1	Y	0	2	0	134	23	1.28571428571429	3.36944038734719	3	4	151	28	0.342857142857143
chr1	2705930	2706260	2572806	2705930	-	TTC34	N	2.62869498252473	3	1	153	7	0.857142857142857	0	2	0	185	12	1.28571428571429
chr1	2938015	2938345	2938345	2939467	+	ACTRT2	N	1.6963746223565	2	1	2	12	0.642857142857143	4.52366565961732	2	4	3	9	0.257142857142857
chr1	2983989	2984319	2976180	2983989	-	LINC00982	N	1.24185085069168	3	1	19	10	0.857142857142857	1.123579341102	2	1	21	9	0.642857142857143
chr1	2985711	2986041	2986041	3355185	+	PRDM16	Y	0	1	0	1040	11	0.857142857142857	0	0	0	906	14	0.428571428571429
chr1	3371116	3371446	3371446	3397677	+	ARHGEF16	N	2.78072825568453	6	2	57	14	1	3.23472470559221	7	2	49	16	1.14285714285714
chr1	3527759	3528089	3404505	3527759	-	MEGF6	Y	0	3	0	316	22	1.71428571428571	0	0	0	274	16	0.428571428571429
chr1	3541525	3541855	3541855	3546694	+	TPRG1L	N	2.08890807078118	9	4	28	40	0.857142857142857	4.43101711983887	12	10	33	64	0.506493506493507
chr1	3566371	3566701	3547330	3566371	-	WRAP73	N	9.70363629745568	6	28	166	27	0.103448275862069	8.77556454503559	12	27	177	39	0.198979591836735
chr1	3569098	3569428	3569428	3652765	+	TP73	Y	8.22127134841852	26	16	490	31	0.680672268907563	13.6452263748336	52	31	572	34	0.709821428571428
chr1	3663637	3663967	3652547	3663637	-	TP73-AS1	Y	2.19721658164529	7	4	61	34	0.685714285714286	4.02090634441088	3	9	75	55	0.171428571428571
chr1	3668934	3669264	3669264	3688209	+	CCDC27	N	0.854308517833792	1	1	67	25	0.428571428571429	0.854308517833792	6	1	67	53	1.5
chr1	3689294	3689624	3689624	3692546	+	SMIM1	N	0.630772550712128	12	1	14	55	2.78571428571429	2.37752730653033	27	7	26	87	1.5
chr1	3712768	3713098	3696783	3712768	-	LRRC47	N	10.4423940556871	49	48	222	55	0.43731778425656	11.4905153921315	45	64	269	90	0.303296703296703
chr1	3773497	3773827	3728644	3773497	-	CEP104	N	4.90536014545256	19	8	221	11	0.952380952380952	9.79594510974411	31	24	332	15	0.548571428571429
chr1	3773800	3774130	3774130	3801993	+	DFFB	N	5.16449502344633	12	10	163	28	0.506493506493507	10.2037901675364	32	20	165	39	0.673469387755102
chr1	3816557	3816887	3805696	3816557	-	C1orf174	N	10.302606618422	144	27	86	27	2.21938775510204	19.862140244872	174	46	76	34	1.59574468085106
chr1	3816937	3817267	3817267	3832011	+	LINC01134	N	17.9586687967606	50	77	191	19	0.28021978021978	21.2878646097907	77	108	226	36	0.306684141546527
chr1	4000641	4000971	4000971	4012643	+	LINC01346	N	2.07446241336414	5	3	51	13	0.642857142857143	0.904252846851034	0	1	39	16	0.214285714285714
chr1	4472080	4472410	4472410	4484744	+	LOC284661	N	0.716651173599814	6	1	52	25	1.5	3.10548841893253	3	3	36	15	0.428571428571429
chr1	4715074	4715404	4715404	4843851	+	AJAP1	N	0	2	0	411	16	1.28571428571429	0	2	0	341	17	1.28571428571429
chr1	6052233	6052563	5922867	6052233	-	NPHP4	Y	20.8809471176283	54	46	861	24	0.501519756838906	32.7593175511467	83	72	859	37	0.493150684931507
chr1	6052327	6052657	6052657	6161253	+	KCNAB2	Y	6.73150321653897	41	46	2242	39	0.382978723404255	8.7711283900599	48	74	2768	62	0.28
chr1	6239894	6240224	6161846	6239894	-	CHD5	N	0.913944120471205	2	1	258	131	0.642857142857143	0.870101782588823	2	1	271	190	0.642857142857143
chr1	6259379	6259709	6245079	6259379	-	RPL22	N	8.36785164133122	37	98	506	32	0.164502164502164	10.0752177003732	47	111	476	67	0.183673469387755
chr1	6265540	6265870	6264899	6265540	-	LOC102724450	N	1.93957703927492	23	5	5	19	1.71428571428571	1.61631419939577	21	5	6	19	1.57142857142857
chr1	6266158	6266488	6266488	6281359	+	RNF207	Y	6.8248881410379	16	12	79	61	0.56043956043956	6.79182182252512	18	13	86	77	0.581632653061224
chr1	6295744	6296074	6281252	6295744	-	ICMT	Y	13.9555373671477	34	80	251	25	0.185185185185185	13.870978529093	32	83	262	26	0.168367346938776
chr1	6296269	6296599	6296599	6299502	+	LINC00337	N	7.01873111782477	124	12	15	17	4.12087912087912	5.84894259818731	119	10	15	20	4.67532467532468
chr1	6304221	6304551	6304551	6305638	+	HES3	N	3.28700906344411	1	2	2	19	0.285714285714286	0.939145446698317	6	2	7	17	1
chr1	6320735	6321065	6307405	6320735	-	GPR153	N	2.51718277945619	3	3	48	18	0.428571428571429	1.2585913897281	11	2	64	23	1.71428571428571
chr1	6453526	6453856	6324331	6453526	-	ACOT7	N	31.6360327329643	115	74	913	25	0.662857142857143	51.8607314136015	151	114	858	40	0.566459627329193
chr1	6479679	6480009	6475293	6479679	-	HES2	N	0	4	0	19	19	2.14285714285714	0	2	0	12	38	1.28571428571429
chr1	6484817	6485147	6485147	6521004	+	ESPN	Y	2.14519457988095	6	2	101	12	1	2.27270614581793	6	3	143	16	0.75
chr1	6525955	6526285	6521213	6525955	-	TNFRSF25	Y	6.61352544736231	2	6	13	18	0.183673469387755	0	3	0	18	16	1.71428571428571
chr1	6579821	6580151	6526151	6579821	-	PLEKHG5	Y	2.28377515850389	18	4	284	13	1.62857142857143	3.3346639846535	14	8	389	13	0.714285714285714
chr1	6614358	6614688	6581406	6614358	-	NOL9	N	15.7778309775572	22	71	448	36	0.136904761904762	16.1497236300924	23	79	487	35	0.128571428571429
chr1	6615307	6615637	6615637	6639817	+	TAS1R1	N	2.21376911105008	62	3	99	101	6.75	1.22780471705298	62	2	119	137	9
chr1	6640020	6640350	6640350	6649340	+	ZBTB48	N	7.45330115687864	21	45	164	111	0.204968944099379	10.4915839447562	24	73	189	162	0.144787644787645
chr1	6662658	6662988	6650783	6662658	-	KLHL21	N	8.06273125360671	185	100	445	111	0.789250353606789	8.16074877080742	275	116	510	133	1.01098901098901
chr1	6673725	6674055	6674055	6684093	+	PHF13	N	4.82055180968768	36	24	151	124	0.634285714285714	7.49517310830989	64	43	174	161	0.633116883116883
chr1	6684894	6685224	6685224	6695646	+	THAP3	Y	4.58583873522424	15	30	206	67	0.221198156682028	3.84870762000671	26	33	270	65	0.340336134453782
chr1	6761666	6761996	6694227	6761666	-	DNAJC11	Y	11.902700345719	30	51	873	62	0.255494505494506	15.7685468339476	30	76	982	72	0.172541743970315
chr1	6784774	6785104	6785104	6790072	+	LOC100505887	N	0.834004699563612	4	1	18	22	1.07142857142857	1.76612759907588	4	2	17	13	0.714285714285714
chr1	6845353	6845683	6845683	7829766	+	CAMTA1	N	28.9257441685709	222	46	4728	80	2.03343465045593	29.64499334919	391	45	4513	105	3.65217391304348
chr1	7831298	7831628	7831628	7841492	+	VAMP3	N	5.66688651546743	15	27	142	28	0.244897959183673	9.99863561056427	10	52	155	41	0.0889487870619946
chr1	7844458	7844788	7844788	7905240	+	PER3	N	1.18595754698474	7	2	308	16	1.14285714285714	0.643089655759329	5	1	284	15	1.28571428571429
chr1	7913251	7913581	7907671	7913251	-	UTS2	N	3.16144259818731	1	3	16	18	0.214285714285714	2.1992644161303	2	3	23	18	0.321428571428571
chr1	8002925	8003255	7975930	8002925	-	TNFRSF9	N	0.574358537934556	5	1	142	15	1.28571428571429	1.43085811204749	2	2	114	16	0.428571428571429
chr1	8021683	8022013	8022013	8045342	+	PARK7	N	29.4974513222514	107	95	227	35	0.482142857142857	25.0337535159913	154	103	290	36	0.638736263736264
chr1	8086093	8086423	8071778	8086093	-	ERRFI1	N	2.40281973816717	6	5	90	17	0.5	1.93660098300041	2	3	67	14	0.321428571428571
chr1	8268701	8269031	8269031	8275268	+	LOC102724539	N	0.785246727089627	4	1	24	15	1.07142857142857	0	5	0	21	14	2.57142857142857
chr1	8378114	8378444	8378444	8404227	+	SLC45A1	N	2.5401287271772	2	3	92	15	0.321428571428571	0	2	0	97	22	1.28571428571429
chr1	8877399	8877729	8412463	8877399	-	RERE	Y	20.7123642840755	42	60	4069	49	0.302107728337237	37.5049925751447	86	115	4307	68	0.321428571428571
chr1	8484674	8485004	8485004	8495076	+	LOC102724552	Y	0.861283702901442	8	3	106	38	0.964285714285714	1.11677152914438	8	4	109	45	0.771428571428571
chr1	8938851	8939181	8921058	8938851	-	ENO1	Y	3.27395299373323	53	100	1642	249	0.229137199434229	5.93195124492135	128	192	1740	279	0.286454478164323
chr1	8938863	8939193	8939193	8939943	+	ENO1-AS1	Y	4.31960260283523	394	99	52	20	1.69285714285714	3.61130412890232	352	191	120	33	0.787946428571429
chr1	9005862	9006192	9006192	9035148	+	CA6	N	2.11653347626937	1	3	124	14	0.214285714285714	0.833175082721911	4	1	105	13	1.07142857142857
chr1	9086104	9086434	9063358	9086104	-	SLC2A7	N	0	0	0	129	11	0.428571428571429	1.30899151201266	6	2	105	13	1
chr1	9131986	9132316	9097004	9131986	-	SLC2A5	N	0	6	0	154	10	3	0	2	0	152	22	1.28571428571429
chr1	9188929	9189259	9164475	9188929	-	GPR157	N	3.75672077423319	11	6	118	28	0.73469387755102	10.9907368105665	20	18	121	26	0.473684210526316
chr1	9242097	9242427	9208069	9242097	-	MIR34AHG	Y	5.18251559273649	51	43	853	16	0.506493506493507	6.74551508187935	57	54	823	43	0.451948051948052
chr1	9242232	9242562	9242562	9252144	+	LOC102724571	Y	14.3265954464758	75	48	97	24	0.664723032069971	12.2295812063757	77	49	116	18	0.668571428571429
chr1	9294832	9295162	9295162	9331394	+	H6PD	N	24.941450915905	28	54	237	15	0.225974025974026	30.0205720983338	34	82	299	21	0.180722891566265
chr1	9352910	9353240	9353240	9429590	+	SPSB1	N	15.6330788548888	21	49	723	22	0.188571428571429	19.0732960178615	28	64	774	21	0.191208791208791
chr1	9488755	9489085	9485152	9488755	-	LOC100506022	N	2.01195323788257	23	17	92	24	0.571428571428572	2.64573509896377	55	26	107	33	0.888888888888889
chr1	9599497	9599827	9599827	9642831	+	SLC25A33	N	6.89186782922501	47	27	509	38	0.73469387755102	13.7204721846026	41	49	464	26	0.36
chr1	9648901	9649231	9649231	9674935	+	TMEM201	N	7.62166732111518	30	37	377	26	0.349624060150376	8.96060887752731	43	45	390	29	0.409937888198758
chr1	9711759	9712089	9712089	9789172	+	PIK3CD	Y	0.592575509482407	2	1	393	38	0.642857142857143	0.568005305430698	11	1	410	44	2.57142857142857
chr1	9714344	9714674	9712667	9714344	-	PIK3CD-AS1	Y	0.84491440080564	5	2	12	15	0.857142857142857	0	3	0	11	20	1.71428571428571
chr1	9747332	9747662	9732483	9747332	-	PIK3CD-AS2	Y	1.44722736575383	4	2	62	24	0.714285714285714	1.79456193353474	12	2	50	14	1.85714285714286
chr1	9884284	9884614	9789078	9884284	-	CLSTN1	Y	0.926856415964382	1	3	931	37	0.214285714285714	1.56663638936609	4	5	918	40	0.357142857142857
chr1	9970016	9970346	9908333	9970016	-	CTNNBIP1	N	8.72743918170999	23	17	363	20	0.571428571428572	7.66504865679292	28	16	389	16	0.73109243697479
chr1	10003185	10003515	9982170	10003185	-	LZIC	Y	23.7584640873209	98	58	155	20	0.719128329297821	31.7462235649547	116	90	180	27	0.551020408163265
chr1	10002950	10003280	10003280	10045556	+	NMNAT1	Y	7.13547907981569	18	20	358	28	0.387755102040816	11.6910824282564	30	40	437	24	0.32404181184669
chr1	10057224	10057554	10057554	10076078	+	RBP7	N	0.788264329177482	2	1	71	19	0.642857142857143	1.74896148036254	2	2	64	29	0.428571428571429
chr1	10093010	10093340	10093340	10241296	+	UBE4B	N	12.235401459854	24	45	1644	39	0.232919254658385	15.7933618843683	41	66	1868	40	0.26865671641791
chr1	10270733	10271063	10271063	10441661	+	KIF1B	Y	9.39234321342794	76	32	1756	58	1	12.602214001001	128	49	2004	59	1.10571428571429
chr1	10459018	10459348	10459348	10480568	+	PGD	N	15.5024392055866	33	59	244	32	0.242857142857143	20.1910483776043	34	97	308	29	0.153061224489796
chr1	10490128	10490458	10490458	10502872	+	APITD1	Y	5.05420925199803	12	19	141	44	0.278571428571429	3.15657623164129	11	17	202	30	0.285714285714286
chr1	10490128	10490458	10490458	10512060	+	APITD1-CORT	Y	5.29936478425904	12	19	234	31	0.278571428571429	3.72322025994039	11	17	298	39	0.285714285714286
chr1	10509745	10510075	10510075	10512060	+	CORT	Y	0	8	0	16	31	3.85714285714286	1.5	10	8	32	39	0.523809523809524
chr1	10532313	10532643	10520602	10532313	-	DFFA	N	2.72182198466186	23	8	104	52	1.14285714285714	9.89543755440627	41	33	118	72	0.529411764705882
chr1	10534972	10535302	10535302	10690815	+	PEX14	N	11.1246444130222	18	30	1267	38	0.262672811059908	10.3885558395214	18	31	1402	59	0.254464285714286
chr1	10856433	10856763	10696665	10856433	-	CASZ1	N	1.7116517751923	2	2	564	30	0.428571428571429	1.78772518742307	4	2	540	59	0.714285714285714
chr1	11041794	11042124	11006529	11041794	-	C1orf127	N	0.71505910501024	5	1	149	10	1.28571428571429	0.755629834372523	6	1	141	17	1.5
chr1	11072648	11072978	11072978	11085549	+	TARDBP	N	14.0613743009578	63	174	470	98	0.156734693877551	13.0519527602307	61	189	550	125	0.13984962406015
